,Name,long,lat
171,CHURCH OF THE HOLY CITY,-77.03612375606517,38.91173268426909
172,PARK ROAD COMMUNITY CHURCH,-77.02781463911931,38.932244390452965
173,ST LUKES UNITED METHODIST CHR,-77.07192177165753,38.92289538567763
174,ST NICHOLAS CATHEDRAL,-77.06864852538052,38.92489873362101
175,ST PATRICKS EPISCOPAL CHR,-77.09806808241012,38.92006658043383
176,DIVINE MISSION CHURCH,-76.92801076174553,38.88858676155481
177,SHARON BAPTIST CHURCH,-76.96979498898342,38.93694514159709
178,ST PATRICKS EPISCOPAL CHURCH,-77.09138547929845,38.91609526804082
179,LUTHERAN CHURCH GEORGETOWN,-77.06507460190006,38.91014431679869
180,PARISH OF CHRIST THE KING,-77.05668238062427,38.9086953730422
181,OUR LADY OF VICTORY CHURCH,-77.09473682997194,38.916384379013344
182,ALL SOULS MEMORIAL EPISCOPAL,-77.05288482747784,38.92760095831695
183,TEMPLE MICAH,-77.07283426142689,38.926931089318735
184,CAPITAL MEMORIAL SEVENTH-DAY,-77.06396550785695,38.95021102007177
185,HOLY TRINITY CATHOLIC CHURCH,-77.06967410601366,38.90697928356828
186,ST SOPHIA GREEK ORTHODOX,-77.07035841316436,38.92724132119003
187,FIFTH CHURCH OF CHRIST SCIENTIST,-77.0614546537876,38.90621701523752
188,WILLIAMS CORNER WORSHIP CTR,-77.05807589331347,38.93537041333235
189,FIRST BAPTIST CHR/GEORGETOWN,-77.05565617579612,38.907571174060024
190,KESHER ISRAEL GEORGETOWN,-77.05722293575434,38.90702991617332
191,NUEVA VIDA INC,-77.04527865772579,38.902119837564676
192,REORGANIZED CHURCH-JESUS CHRST,-77.06934975365934,38.92532549419786
193,SGI BUDDHIST ASSN,-77.06803730121132,38.9253650915414
194,JERUSALEM BAPTIST CHURCH,-77.05497577331847,38.90914993900343
195,EPIPHANY CATHOLIC CHURCH,-77.05643837251112,38.90747702189947
196,DUMBARTON UNITED METHODIST CHR,-77.0625255777355,38.90789974746396
197,GRACE EPISCOPAL CHURCH,-77.06202524801469,38.903581499779676
198,ADAS ISRAEL CONGREGATION,-77.05752918591845,38.93680012108081
199,MT ZION COMMUNITY HOUSE,-77.05853691851742,38.908275480307445
200,MT ZION UNITED METHODIST CHR,-77.05838070733513,38.90801089317844
201,GEORGETOWN PRESBYTERIAN CHURCH,-77.06210686570961,38.90953282399223
202,SECOND NEW ST PAUL BAPTIST,-76.97169297698099,38.925803059376676
203,ANACOSTIA INTERNATIONAL,-76.97933820583837,38.86423841060875
204,DELAWARE AVE BAPTIST CHURCH,-76.98728898467576,38.865087148515954
205,IMMANUEL BIBLE ASSEMBLY,-76.99227632462707,38.93082116014258
206,DIVINE WORD HOUSE,-76.99400523214888,38.9421709083094
207,JONES R L AME ZION CHURCH,-76.98012801601739,38.93188504874629
208,PENNSYLVANIA AVENUE BAPT CHR,-76.96381527708634,38.87113705744903
209,LUTHERAN CHURCH-THE HOLY,-76.9594940620545,38.86160356560774
210,TRUE BELIEVERS,-76.91871903230638,38.886047507853355
211,TRUE WAY CHURCH,-76.91197990214849,38.893448774086764
212,LITTLE FOUNTAIN CHURCH,-76.98244981738925,38.86290450282986
213,LITTLE ROCK CHR OF DELIVERANCE,-76.97413541949193,38.87110475638567
214,GREATER MT JOY CHR OF CHRIST,-76.98144040632839,38.856068124355765
215,UNITED METHODIST PUB HSE,-77.08958349879973,38.939820970748144
216,CAPITOL TEMPLE CHR-GOD,-76.97963619658337,38.92918877692539
217,BROOKLAND UNION BAPTIST CHURCH,-76.98572329919332,38.9290370781042
218,MASJID HADEETH,-76.97932748117019,38.93269790961404
219,BRIGHTER DAY MINISTRIES,-76.9853383446426,38.85155824704448
220,LIGHT OF THE WORLD CHURCH,-76.98915306850044,38.92370794627308
221,MEKANE HIWOT,-76.97389872398678,38.92499129268358
222,ANTIOCH BAPTIST CHURCH/DC,-76.92827514752831,38.90501152158922
223,WILLING HEART COMMUNITY CHURCH,-76.96257863666733,38.863100983516
224,SECOND ST JAMES BAPTIST CHURCH,-76.97279401520645,38.872183838726755
225,CENTRAL UNION BAPTIST CHURCH,-76.93897674250813,38.89730212059188
226,AGAPE 1 CHURCH OF CHRIST,-76.98505912262443,38.86571900497536
227,BETHEL CHRISTIAN CHURCH,-76.97397356816329,38.87158802139725
228,BETHEL CHRISTIAN FELLOWSHIP,-76.98990785269471,38.8641199003379
229,POTOMAC BAPTIST CHURCH,-76.9589721376243,38.88221182232759
230,SUPREME COUNCIL-THE HSE-JACOB,-76.91895478126541,38.89006820304583
231,TABERNACLE BAPTIST CHURCH,-76.92501640795459,38.89948014443183
232,ST ANTHONYS CATHOLIC CHURCH,-76.99168749888784,38.932299653356246
233,ST JOSAPHAT'S UKRAINIAN SMNRY,-77.00397980510364,38.940380325942925
234,GATE OF HEAVEN HOLY CHURCH,-76.99081839968045,38.92736105208046
235,OLD WAY BAPTIST CHURCH,-76.98644681501095,38.94147771907908
236,ST PHILLIPS EPISCOPAL CHURCH,-76.98584106314577,38.865653701309434
237,ST TERESA OF AVILA CHURCH,-76.98776108608713,38.86562914516907
238,ST TIMOTHY'S EPISCOPAL CHURCH,-76.95609456215745,38.86299702045734
239,EDGEWOOD BAPTIST CHURCH,-76.95697453465864,38.8862823536915
240,UNITY BAPTIST CHURCH,-76.96593417658744,38.9248320474048
241,REDEEMING LOVE CHRISTIAN CTR,-76.93580421496382,38.89919280763573
242,REFUGE TEMPLE,-76.92078523644736,38.89564555283241
243,PEACE FELLOWSHIP CHURCH,-76.93439999983293,38.911207280300445
244,PEACE LUTHERAN CHURCH,-76.9307962128695,38.89049605948748
245,REVELATION KNOWLEDGE CHRISTIAN,-76.93887370877579,38.900906132897724
246,SEVENTH CHR-CHRIST SCIENTIST,-76.93495594291292,38.906440012877084
247,MCKENDREE UNITED MTHDST CHR,-76.9712543509969,38.93193536140265
248,FRANCISCAN MONASTERY,-76.98522170638672,38.93751752435483
249,UNIVERSAL HOLINESS CHURCH,-76.98626510509077,38.85423161233638
250,OUR REDEEMER CHURCH,-76.97909425304367,38.943785189761776
251,DUPONT PARK SEVENTH-DAY ADVENTIST CHURCH,-76.94704328166407,38.87169440236086
252,WOODRIDGE CHURCH OF OUR LORD,-76.97289838587011,38.92477198266468
253,EAST CAPITOL CHURCH OF CHRIST,-76.92888298091398,38.8900700752114
254,LIVING WORD CHURCH,-77.01263719887444,38.829806136481054
255,FIRST UNITED METHODIST CHURCH,-76.93639644585403,38.8727775747334
256,GRACE APOSTOLIC CHURCH,-76.93790683870964,38.894402393413216
257,FIRST CHRIST APOSTOLIC CHURCH,-76.97204898857447,38.92019366240281
258,FRENCH SPEAKING PARISH OF ST L0UIS,-77.0817413518867,38.956239629815286
259,TRUE PENTECOSTAL CHR OF CHRIST,-76.99062866591947,38.93104075233193
260,MARIAN FATHERS,-77.00086101416842,38.93772996996817
261,UKRAINIAN CATHOLIC NATL SHRINE,-77.00345666711905,38.939592477235635
262,BETHESDA NEW LIFE GOSPEL CHR,-76.94648417990004,38.90085960023339
263,BEULAH BAPTIST OF DEANWOOD HTS,-76.9167693363882,38.89471426776508
264,PLEASANT GROVE BAPTIST CHURCH,-76.97892504779753,38.92850735216349
265,RHEMA CHRISTIAN CTR CHURCH,-76.97825847605097,38.944693432927885
266,SPIRIT OF THE LORD BAPTIST CHR,-76.97237185910376,38.9306389749088
267,NEW CANAAN BAPTIST CHURCH,-76.96405334425431,38.92652108429396
268,NEW COVENANT CHURCH,-76.9741392992247,38.92972629694714
269,SECOND NEW ST LUKE BAPTIST CHR,-76.93079427595664,38.89867214646268
270,NEW BEGINNING CHRISTIAN,-76.93798606688772,38.90258338198546
271,NEW BEGINNING WAY-THE CROSS,-76.93137966751117,38.89208007633138
272,NEW BIRTH PRAYER MSSNRY BAPT,-76.93679288449671,38.90255031246673
273,RANDALL MEMORIAL METHODIST CHR,-76.93680924759714,38.903079382177594
274,RCCG NEW WINE ASSEMBLY,-76.93551132462022,38.90986295297066
275,CHURCH-THE REDEEMER,-76.98453295563822,38.9265350474604
276,CARRON BAPTIST CHURCH,-77.01189685135843,38.87377674461138
277,RISING SUN BAPTIST CHURCH,-76.97145583596412,38.93078991423553
278,ST PAUL BAPTIST CHURCH,-76.98153259430798,38.92769596397507
279,EAST FRIENDSHIP BAPTIST CHURCH,-76.93890011624849,38.89322525264959
280,GARDEN MEMORIAL PRESBYTERIAN,-76.97990475240387,38.86918800166224
281,GREATER GOOD SAMARITAN BAPTIST CHURCH,-76.92873297626294,38.88249771560654
282,GOOD SUCCESS CHRISTIAN CHURCH,-76.93897743911897,38.90255228465798
283,MT SINAI PRIMITIVE BAPTIST CHR,-76.93546025411024,38.89889741403264
284,MT VERNON UNITED METHODIST CHR,-76.94554527470258,38.89924748036818
285,YOUNGS MEMORIAL CHURCH,-76.9703370467533,38.85527101775872
286,FAITH UNITED CHURCH OF CHRIST,-76.99295606853751,38.948557182885025
287,GRACE UNITED BAPTIST CHURCH,-76.99006087807057,38.9294410997765
288,ALMAS TEMPLE,-76.95231916418551,38.893911993003144
289,FAITH TABERNACLE OF PRAYER,-76.96969340421431,38.85464782939831
290,NEW DAY ASSEMBLY OF CHRIST,-77.00515317160749,38.84222937047439
291,FIRST CHURCH OF WASHINGTON DC,-76.98942962897848,38.927447144323295
292,DIVINE LOVE BAPTIST CHURCH,-76.94018935701352,38.90265353472789
293,PENTECOSTAL CHURCH OF GOD,-76.97063457016856,38.93076196519425
294,CHARITY BAPTIST CHURCH,-76.97340571647558,38.870575438696584
295,MOUNTAIN OF FIRE MIRACLES,-76.96516271817816,38.93465187070257
296,MT HOREB BAPTIST CHURCH,-76.96223507094318,38.927944635603964
297,APOSTOLIC FAITH CHURCH,-76.96125201720331,38.87361967208622
298,SERVANTS OF THE LORD,-76.98737931032571,38.937489491140134
299,GUIDING STAR BAPTIST CHURCH,-76.99146560493439,38.92933302094686
300,GUILDFIELD BAPTIST CHURCH,-76.99167388984141,38.93427220095653
301,FAITH BIBLE CHURCH,-76.9347492419306,38.88058289455355
302,FAITH SHEPARD BAPTIST CHURCH,-76.96002357694867,38.88265152606406
303,WHOLE TRUTH CHR-THE LORD JESUS,-76.967847781043,38.92366520120548
304,UNION WESLEY AME ZION CHURCH,-76.97885156303487,38.946077394381156
305,SARGENT MEMORIAL PRESBYTERIAN,-76.9268668334822,38.898084120017245
306,MACEDONIA COMMUNITY CHURCH,-76.93661749855596,38.90414757932112
307,MACEDONIA HOLY CHURCH,-76.92496334717087,38.89874286579061
308,NEW MT OLIVE BAPTIST CHURCH,-76.9181903890995,38.89876876746209
309,NEW ZION PENTECOSTAL CHURCH,-76.92227851658042,38.89976455079417
310,NEW GROVE BAPTIST CHURCH,-76.94107011167678,38.89264487698122
311,NEW JERUSALEM TEMPLE,-76.94504762090293,38.899230311622155
312,NEW LIFE WORLD ASSEMBLIES,-76.96453539438924,38.87598334857041
313,NEW MACEDONIA BAPTIST CHURCH,-76.94238279646873,38.87067748896648
314,NEW MORNING STAR BAPTIST CHR,-76.92878549568039,38.90378237336005
315,NEW MT CALVARY MSSNRY BAPT CHR,-76.93991388416646,38.89217873518909
316,MENTROTONE BAPTIST CHURCH,-76.92687302827791,38.88641782708954
317,CONCORD BAPTIST CHURCH,-76.98116156487838,38.9295306279123
318,MICHIGAN PARK CHRISTIAN CHURCH,-76.98220416906881,38.940989531420605
319,KEDUS GABRIEL ETHIOPIAN ORTHDX,-76.96954777407889,38.924070130160054
320,NEW COVENANT BAPTIST CHURCH,-76.98767650113271,38.86434498668985
321,NEW IMAGE COMMUNITY BAPTIST,-76.97784220953734,38.84766641063718
322,JOSEPHITE PASTORAL CTR,-76.9893829420168,38.943580377128306
323,SOUTHEAST CHRISTIAN FELLOWSHIP,-76.96098344377546,38.87078896168075
324,VICTORY DELIVERANCE TEMPLE,-76.98244981738925,38.86290450282986
325,MONASTERY OF THE HOLY CROSS,-76.98787735664196,38.9375065695295
326,GALILEE BAPTIST CHURCH,-76.9735299401796,38.87243696383751
327,PURITY PENTECOSTAL MINISTRY,-76.9798040544858,38.93225595531847
328,ZION BAPTIST CHURCH EASTLAND,-76.93991962291123,38.90671751553156
329,RIGHTEOUS CHURCH OF GOD,-76.92108396555945,38.89778722448182
330,PERFECTION OF THE SAINTS,-76.91386358131437,38.894284083436844
331,PILGRIM REST BAPTIST CHURCH,-76.93597942915456,38.90254653645558
332,FIRST BAPTIST CHR OF DEANWOOD,-76.93801651027276,38.90310507213916
333,FIRST BAPTIST CHR-MARSHALL HTS,-76.93058563374042,38.8868099752775
334,FIRST BAPTIST CHURCH/SOUTHEAST,-76.95651533706766,38.88571915966755
335,FIRST NATIONAL BAPTIST CHURCH,-76.92382551453973,38.88321474886198
336,FIRST ROCK BAPTIST CHURCH,-76.93994327169035,38.87999878399908
337,GREATER FELLOWSHIP FULL GOSPEL,-76.99386280058009,38.84402029255921
338,DEBRE MEHERET ST MICHAEL'S,-76.96210929905388,38.92871867934118
339,POOR CLARES OF PERPETUAL ADRTN,-76.98872697893545,38.93745143367711
340,OUR LADY OF PERPETUAL HELP CATHOLIC CHURCH,-76.98164772735304,38.857641208740844
341,MIRACLE TEMPLENON,-76.92679169466042,38.88390749906833
342,ASSUMPTION RC CHURCH,-77.00444691030762,38.841594123678156
343,WARD MEMORIAL AME CHURCH,-76.94231196033084,38.894158633212164
344,LITTLE ROCK CHURCH OF CHRIST,-76.92764291456218,38.903857341524464
345,RYLAND-EPWORTH UNITED MTHDST,-76.95971405284833,38.868276625899874
346,CONTEE AME ZION CHURCH,-76.92394634292933,38.90199098411234
347,RELIGIOUS THE SACRED HEART,-76.99437728604737,38.94154070679653
348,CHURCH OF THE INCARNATION,-76.92054862337189,38.90129679066065
349,CHURCH OF OUR LORD JESUS CHRIST,-76.92078523644736,38.89564555283241
350,ALLEN CHAPEL AFRICAN MTHDST,-76.9702852186312,38.85689261188096
351,HUGHES MEMORIAL UNITED MTHDST,-76.9257791846355,38.89054234537349
352,LEADING COMMANDMENT CHURCH,-76.92902495094874,38.88883331100185
353,INTERNATIONAL HOUSE OF PRAYER,-76.97750237716373,38.92809072272051
354,ISRAEL BAPTIST CHURCH,-76.98935494987083,38.92168766822834
355,GREAT MT CALVARY HOLY CHURCH,-76.99428805994299,38.92214194284802
356,REVIVAL TEMPLE FULL GOSPEL CHR,-76.99458810229766,38.86304721840029
357,EMMANUEL BAPTIST CHURCH,-76.97185695889968,38.85656590527934
358,ST JUDAH BAPTIST CHURCH,-76.95103121304328,38.89124768417263
359,ST LUCILLE AME ZION CHURCH,-76.92738550824603,38.887177373430355
360,HIS CHURCH,-76.97586091882987,38.85144343622491
